id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city
o,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-al-jana-pawla-ii-2-pokojowe-s6f9p5,ponad tydzień temu,20,Gdańsk Zaspa,al. Jana Pawła II,Apartment,2,40,Oferta biura nieruchomości,899000,22297,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-jana-bazynskiego-2-pokojowe-a8r9y9,ponad tydzień temu,23,Gdańsk Oliwa,ul. Jana Bażyńskiego,Apartment,2,50,Oferta biura nieruchomości,1259961,25164,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-aleksandra-rozankowskiego-3-pokojowe-j3t1u7,ponad tydzień temu,18,Gdańsk Letnica,ul. Aleksandra Rożankowskiego,Apartment,3,68,Bez pośredników,1110000,16340,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-krzysztofa-komedy-2-pokojowe-s4j4u2,ponad tydzień temu,22,Gdańsk Jasień,ul. Krzysztofa Komedy,Apartment,2,41,Bez pośredników,599000,14511,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-chwarzno-wiczlino-ul-wladyslawa-kanskiego-2-pokojowe-c9k5f7,ponad tydzień temu,18,Gdynia Chwarzno-Wiczlino,ul. Władysława Kańskiego,Apartment,2,45,Bez pośredników,610000,13496,Gdynia
o,https://adresowo.pl/o/mieszkanie-sopot-ul-grunwaldzka-3-pokojowe-t3c7p9,ponad tydzień temu,17,Sopot,ul. Grunwaldzka,Apartment,3,102,Oferta biura nieruchomości,1990000,19556,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-stanislawa-dabka-2-pokojowe-d8y5r1,ponad tydzień temu,8,Gdańsk Ujeścisko,ul. Stanisława Dąbka,Apartment,2,37,Oferta biura nieruchomości,540000,14567,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-borkowska-2-pokojowe-s1d4h1,ponad tydzień temu,10,Gdańsk Jasień,ul. Borkowska,Apartment,2,40,Bez pośredników,485000,12044,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-borkowska-3-pokojowe-s9j0t2,ponad tydzień temu,12,Gdańsk Jasień,ul. Borkowska,Apartment,3,56,Bez pośredników,610000,10934,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-redlowo-2-pokojowe-60-m2-h4g2o8,ponad tydzień temu,8,Gdynia Redłowo,,Apartment,2,60,Bez pośredników,999999,16667,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-2-pokojowe-v0r4l5,ponad tydzień temu,9,Gdańsk Przymorze,ul. Olsztyńska,Apartment,2,49,Oferta biura nieruchomości,640000,13059,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ul-poziomkowa-2-pokojowe-u1x5h8,ponad tydzień temu,1,Gdańsk,ul. Poziomkowa,Apartment,2,56,Oferta biura nieruchomości,649000,11544,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-slowianska-3-pokojowe-f0f0m4,ponad tydzień temu,12,Gdańsk Przymorze,ul. Słowiańska,Apartment,3,70,Bez pośredników,1240000,17714,Gdańsk
o,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-henryka-sienkiewicza-3-pokojowe-v3i3k0,ponad tydzień temu,30,Sopot Kamienny Potok,ul. Henryka Sienkiewicza,Apartment,3,53,Bez pośredników,950000,17925,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-ukosna-2-pokojowe-c7t5h3,ponad tydzień temu,18,Gdańsk Orunia,ul. Ukośna,Apartment,2,40,Bez pośredników,390000,9750,Gdańsk
o,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-al-niepodleglosci-3-pokojowe-z9e2y9,ponad tydzień temu,20,Sopot Sopot Górny,al. Niepodległości,Apartment,3,91,Oferta biura nieruchomości,1499000,16473,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-na-stoku-3-pokojowe-f8m8p1,ponad tydzień temu,16,Gdańsk Śródmieście,ul. Na Stoku,Apartment,3,61,Oferta biura nieruchomości,739000,12175,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-konstantego-bergiela-2-pokojowe-e7y3m1,ponad tydzień temu,13,Gdańsk Ujeścisko,ul. Konstantego Bergiela,Apartment,2,52,Bez pośredników,599000,11609,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-chylonia-ul-gniewska-2-pokojowe-v5a6p8,ponad tydzień temu,11,Gdynia Chylonia,ul. Gniewska,Apartment,2,36,Bez pośredników,365000,10097,Gdynia
o,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-al-stanislawa-horno-poplawskiego-1-pokoj-d9k1e4,ponad tydzień temu,8,Sopot Sopot Górny,al. Stanisława Horno-Popławskiego,Apartment,1,32,Bez pośredników,520000,16124,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-jozefa-czyzewskiego-2-pokojowe-h8z3t7,ponad tydzień temu,18,Gdańsk Oliwa,ul. Józefa Czyżewskiego,Apartment,2,50,Oferta biura nieruchomości,1286220,25500,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-leszczynki-2-pokojowe-39-m2-q8a5i6,ponad tydzień temu,10,Gdynia Leszczynki,,Apartment,2,39,Oferta biura nieruchomości,497419,12599,Gdynia
